id,pval
ZZHRI4172Y,0.16346124189696276
JTVVM7993I,2.942950436845422e-4
THGEL2596P,0.619561567956116
VGNGI5657Z,0.03513279215525836
OPJPZ5945G,0.9135421796739102
RFNGJ0715J,0.5710825276437681
KJOVD5112G,0.8132712912033312
MMWDU5334G,0.7677218203458469
OOAQF9715Q,0.7944757520516869
YEHRV5288R,0.5949903024942614
DSYCG3979J,0.031131973701762038
SSYPY6819Q,3.5107870656065645e-4
EQORA9219X,0.10083948837639764
PXYBL2233P,0.9478767220550217
NRREN9875K,3.820127798244357e-4
XOPAK0946V,0.9896292943572625
KKJGN8957K,0.7470500707097817
AIGTN4671J,0.32215730367205103
BIZUI3130M,3.565068426541984e-4
MBKLC6899D,0.9359091882323847
EWRUX2713I,0.9208100500293076
OBXIP1380A,6.428531408309937e-4
NVLXK1028E,0.7971351335609798
DPKAW6176N,0.9643565780883655
RRXEA9316J,0.001892776696709916
JYTKM1630R,0.44358095452119595
ANFNW6688S,0.8859188631682191
ACVVQ1528F,0.3482865732498467
NPLGG9423A,6.856591813266278e-4
UQZRB6855U,0.7758611912108027
TSQED0650R,0.3622035028305836
JQOWK6665C,0.6800431927207392
MITTY9096G,0.8532754085329362
FUNLA3413Q,0.9920042352573946
XORYA5778Q,0.6643861177242361
LASHU7071Z,0.007697372582275421
GUWLU5056R,0.9541443790164776
ZJZRK7584N,8.575183292850853e-5
MIPKK4174G,0.6894614331137855
RGUPV2909D,1.896808254532516e-4
BRYTN7430L,0.6880166020223405
JIREL7610N,0.8917584531621542
PSBSZ5412P,0.41088221650291235
YIRDH9725M,3.164372919127345e-4
JCYXZ8102C,0.8718992335121147
FUNGW2865X,0.41112647421169096
RWYXW4070F,0.32678729269700124
ZFWNJ7125C,0.38731246442417616
JSCVK8970T,0.41697995564481244
WXDGD2336E,0.8253922030476387
EVBDT3930W,0.6764446291576606
UMDWB6569V,5.432868057396263e-4
BLTXF8567Z,0.1651941465428099
BDYAY5561X,0.2104456903047394
APHGL0683N,0.7602403800741304
PLIIN0612Q,0.3022884900600184
AAUUS3194D,0.018605471514398234
AHATR1563C,0.3878239632968325
NCHBR5929M,0.6147248839084059
LVVTF1615C,0.3499833794129081
RPKOQ3221R,0.5223999709903728
KXVEN9134S,0.4949689247214701
OVMFV4891G,0.7702195810321718
HFVNI8796Q,0.2701367886038497
CXKMC6949Z,0.4802442624846008
OMNCG8854I,0.951447405048646
VXKBJ1459I,0.9233602224460338
DSHQJ9782T,0.09837785361940041
VKDVJ0612E,0.11951163671421819
DFMTX4094H,0.9144669864850584
NVVDZ9132D,0.5270257804652211
ETORI9471V,0.0579759972859174
GSULV8908T,0.46476270161103456
ULFPX3739N,0.4853693929410074
PLAZI8028U,0.27392492240830324
HCALT8557T,0.1109176890111994
SNBFW3150O,6.780402006115765e-4
EHQRC8837D,0.5027659134664573
SOCIH8366B,0.7938157390102278
BAGTS2257U,0.34728626076923685
